Sample	Total Reads	Total Passed QC	Mapped	Duplicates	Paired in Sequencing	Properly Paired	Self and mate mapped	Singletons	Mate mapped to diff chr	Diff chr (mapQ >= 5)
GRCg7b | M301570.lib1	100.0	100.0	0.03372160812062048	0.0	100.0	0.024167152486444674	0.024672024020453966	0.009049584100166513	2.857763400052583e-05	1.1907347500219095e-05
GRCg7b | M301571.lib1	100.0	100.0	0.01897375480930266	0.0	100.0	0.010549199321802722	0.011612891976911729	0.007360862832390933	5.482951830458795e-06	2.7414759152293976e-06
GRCg7b | M301572.lib1	100.0	100.0	0.015710566283170167	0.0	100.0	0.0016766045300811955	0.0017330704857575051	0.01397749579741266	0.0	0.0
GRCg7b | M301573.lib1	100.0	100.0	0.01056728864772515	0.0	100.0	0.002071480589839041	0.00220836256714118	0.008358926080583971	0.0	0.0
GRCg7b | M301574.lib1	100.0	100.0	0.024358107987314116	0.0	100.0	0.012156707105595303	0.012603644866830424	0.011754463120483694	0.0	0.0
GRCg7b | M301575.lib1	100.0	100.0	0.0471887290725644	0.0	100.0	0.034075431135563744	0.03426686614194331	0.012921862930621083	0.0	0.0
GRCg7b | M301576.lib1	100.0	100.0	0.15620031336031648	0.0	100.0	0.14719133394972506	0.14899831734397995	0.007201996016336513	4.755219458565525e-05	1.0807316951285284e-05
GRCg7b | M301577.lib1	100.0	100.0	0.11311662195940121	0.0	100.0	0.10125479769423443	0.10398442222902746	0.009132199730373755	0.0001338051242545605	7.13627329357656e-05
GRCg7b | M301578.lib1	100.0	100.0	0.42148386966427964	0.0	100.0	0.3892558990016681	0.40702262748044254	0.014461242183837108	0.0004540617594809865	0.0001916223939094072
GRCg7b | M301579.lib1	100.0	100.0	0.1288464661218253	0.0	100.0	0.12053127515108143	0.12344001115605646	0.0054064549657688145	8.009562912250095e-05	1.8970017423750224e-05
GRCg7b | M301580.lib1	100.0	100.0	0.012001166082499444	0.0	100.0	0.001155715055563763	0.0012194493417161765	0.010781716740783268	0.0	0.0
GRCg7b | M301581.lib1	100.0	100.0	0.06243732391003295	0.0	100.0	0.04500740174776754	0.04739506231794088	0.015042261592092068	0.0001193830285086672	5.96915142543336e-05
