Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
REF0009-mgg-pbdrep | M301570.lib1	41970826.0	0.0	41970826.0	1.0	20985413.0	20985413.0	35733445.0	35261436.0	6237381.0	31003698.0	41970826.0	0.0	731238.0	0.0	0.0	0.0	6256910746.0	3128477443.0	3128433303.0	5328430256.0	5328430256.0	0.0	0.0	36735130.0	0.006894174	149.0	149.0	149.0	150.0	150.0	150.0	39.1	290.9	111.9	16654713.0	431900.0	15718.0	528387.0	73.9	85.13876996368859	84.01415783430139	14.861230036311412	73.86963983029545	100.0	0.0	1.7422530593036218	0.0
REF0009-mgg-pbdrep | M301571.lib1	36465582.0	0.0	36465582.0	1.0	18232791.0	18232791.0	30656873.0	30251338.0	5808709.0	26987680.0	36465582.0	0.0	657847.0	0.0	0.0	0.0	5438454001.0	2719242801.0	2719211200.0	4573207754.0	4573207754.0	0.0	0.0	32031438.0	0.007004152	149.0	149.0	149.0	150.0	150.0	150.0	39.1	287.8	108.8	14361891.0	357626.0	11943.0	394209.0	74.0	84.07070809948955	82.95860463710684	15.929291900510458	74.00863641775963	100.0	0.0	1.8040216662385917	0.0
REF0009-mgg-pbdrep | M301572.lib1	46028280.0	0.0	46028280.0	1.0	23014140.0	23014140.0	39158196.0	38646612.0	6870084.0	33243532.0	46028280.0	0.0	790939.0	0.0	0.0	0.0	6857743101.0	3428900990.0	3428842111.0	5835656573.0	5835656573.0	0.0	0.0	40943569.0	0.007016103	149.0	149.0	149.0	150.0	150.0	150.0	39.0	286.9	118.8	18148245.0	521910.0	17914.0	635237.0	72.2	85.07421089816955	83.96275507144738	14.92578910183044	72.22414567739659	100.0	0.0	1.7183761809044351	0.0
REF0009-mgg-pbdrep | M301573.lib1	43822918.0	0.0	43822918.0	1.0	21911459.0	21911459.0	37108201.0	36646010.0	6714717.0	32614354.0	43822918.0	0.0	737723.0	0.0	0.0	0.0	6523326608.0	3261674074.0	3261652534.0	5525944196.0	5525944196.0	0.0	0.0	37931497.0	0.006864256	149.0	149.0	149.0	150.0	150.0	150.0	39.1	284.2	110.9	17305531.0	527949.0	14865.0	474660.0	74.4	84.6776132068613	83.62293446547763	15.322386793138696	74.42305416540268	100.0	0.0	1.6834182516098084	0.0
REF0009-mgg-pbdrep | M301574.lib1	2236324.0	0.0	2236324.0	1.0	1118162.0	1118162.0	42324.0	41480.0	2194000.0	37190.0	2236324.0	0.0	1445.0	0.0	0.0	0.0	331527724.0	165763410.0	165764314.0	6317942.0	6317942.0	0.0	0.0	54316.0	0.008597103	148.0	148.0	148.0	150.0	150.0	150.0	38.8	281.7	108.1	19743.0	467.0	16.0	514.0	1.7	1.8925701284787	1.8548296221835476	98.1074298715213	1.6629969539297524	100.0	0.0	0.06461496634655801	0.0
REF0009-mgg-pbdrep | M301575.lib1	2087740.0	0.0	2087740.0	1.0	1043870.0	1043870.0	73495.0	71976.0	2014245.0	62318.0	2087740.0	0.0	1941.0	0.0	0.0	0.0	307315532.0	153655715.0	153659817.0	10967159.0	10967159.0	0.0	0.0	87042.0	0.007936604	147.0	147.0	147.0	150.0	150.0	150.0	38.9	291.3	117.7	34072.0	731.0	82.0	1103.0	3.0	3.5203138321821683	3.447555730119651	96.47968616781783	2.9849502332665945	100.0	0.0	0.09297134700681119	0.0
REF0009-mgg-pbdrep | M301576.lib1	46187668.0	0.0	46187668.0	1.0	23093834.0	23093834.0	38120682.0	37669140.0	8066986.0	34724940.0	46187668.0	0.0	773434.0	0.0	0.0	0.0	6887935186.0	3443991880.0	3443943306.0	5687365327.0	5687365327.0	0.0	0.0	38148780.0	0.006707637	149.0	149.0	149.0	150.0	150.0	150.0	39.1	276.3	100.1	17984866.0	457353.0	11044.0	381307.0	75.2	82.53432929326503	81.55670470308222	17.46567070673497	75.18227592698553	100.0	0.0	1.6745465477928003	0.0
REF0009-mgg-pbdrep | M301577.lib1	44784584.0	0.0	44784584.0	1.0	22392292.0	22392292.0	38219138.0	37721040.0	6565446.0	33521470.0	44784584.0	0.0	805504.0	0.0	0.0	0.0	6676746468.0	3338395265.0	3338351203.0	5698848020.0	5698848020.0	0.0	0.0	40113752.0	0.007038923	149.0	149.0	149.0	150.0	150.0	150.0	39.1	282.7	109.8	17812451.0	490594.0	15481.0	541994.0	74.9	85.33994197646226	84.22773336467745	14.660058023537742	74.85046640156354	100.0	0.0	1.79861891761683	0.0
REF0009-mgg-pbdrep | M301578.lib1	47798982.0	0.0	47798982.0	1.0	23899491.0	23899491.0	38503618.0	37976902.0	9295364.0	33024872.0	47798982.0	0.0	771911.0	0.0	0.0	0.0	7142889994.0	3571481931.0	3571408063.0	5755552940.0	5755552940.0	0.0	0.0	39738920.0	0.006904449	149.0	149.0	149.0	150.0	150.0	150.0	39.1	299.0	110.6	18050869.0	303502.0	18294.0	615786.0	69.1	80.55321763965601	79.45127785357438	19.44678236034399	69.09116181595667	100.0	0.0	1.6149109619112807	0.0
REF0009-mgg-pbdrep | M301579.lib1	47378414.0	0.0	47378414.0	1.0	23689207.0	23689207.0	39788140.0	39283672.0	7590274.0	36409750.0	47378414.0	0.0	856350.0	0.0	0.0	0.0	7073351323.0	3536703616.0	3536647707.0	5941040712.0	5941040712.0	0.0	0.0	39951998.0	0.006724748	149.0	149.0	149.0	150.0	150.0	150.0	39.2	276.0	98.8	18850792.0	428884.0	12167.0	349993.0	76.8	83.97946794926483	82.91470457411259	16.020532050735174	76.8488155808677	100.0	0.0	1.807468692388057	0.0
