Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
M301570.lib1_1	50.43492909054813	50.0	150.0	150	9.090909090909092	21931455.0
M301570.lib1_2	51.40839443058016	51.0	150.0	150	18.181818181818183	21931455.0
M301571.lib1_1	31.731674038995692	50.0	150.0	150	0.0	18889009.0
M301571.lib1_2	32.86293774974908	51.0	150.0	150	9.090909090909092	18889009.0
M301572.lib1_1	59.65241555536012	50.0	150.0	150	9.090909090909092	24259642.0
M301572.lib1_2	60.92518136408877	51.0	150.0	150	18.181818181818183	24259642.0
M301573.lib1_1	52.072629711322364	50.0	150.0	150	9.090909090909092	22838367.0
M301573.lib1_2	53.164104809449505	51.0	150.0	150	18.181818181818183	22838367.0
M301574.lib1_1	70.50256137283407	57.0	150.0	150	18.181818181818183	1705878.0
M301574.lib1_2	70.62866855996992	58.0	150.0	150	27.27272727272727	1705878.0
M301575.lib1_1	76.15472845937914	53.0	150.0	150	27.27272727272727	1984113.0
M301575.lib1_2	76.2955878860868	53.0	150.0	150	27.27272727272727	1984113.0
M301576.lib1_1	59.328966911542985	51.0	150.0	150	9.090909090909092	24038108.0
M301576.lib1_2	60.268114303493356	51.0	150.0	150	9.090909090909092	24038108.0
M301577.lib1_1	34.03901965940241	51.0	150.0	150	0.0	23176784.0
M301577.lib1_2	35.18866216950319	52.0	150.0	150	9.090909090909092	23176784.0
M301578.lib1_1	54.73661247315799	50.0	150.0	150	9.090909090909092	25170331.0
M301578.lib1_2	55.80148017140162	51.0	150.0	150	18.181818181818183	25170331.0
M301579.lib1_1	64.34849638089123	50.0	150.0	150	18.181818181818183	24467068.0
M301579.lib1_2	65.46761785792475	50.0	150.0	150	9.090909090909092	24467068.0
M301580.lib1_1	73.48411725647284	50.0	150.0	150	18.181818181818183	24753832.0
M301580.lib1_2	74.40773990575119	51.0	150.0	150	27.27272727272727	24753832.0
M301581.lib1_1	67.42084881928577	53.0	150.0	150	27.27272727272727	1430552.0
M301581.lib1_2	67.77811040227486	54.0	150.0	150	27.27272727272727	1430552.0
M301582.lib1_1	65.99858277782087	50.0	150.0	150	9.090909090909092	24393762.0
M301582.lib1_2	66.98912692728538	51.0	150.0	150	18.181818181818183	24393762.0
M301583.lib1_1	69.05640628306787	50.0	150.0	150	9.090909090909092	19450806.0
M301583.lib1_2	69.8200481716929	51.0	150.0	150	27.27272727272727	19450806.0
M301584.lib1_1	57.77996475613432	50.0	150.0	150	9.090909090909092	23760434.0
M301584.lib1_2	58.93505494259706	50.0	150.0	150	18.181818181818183	23760434.0
M301585.lib1_1	66.64074505835401	58.0	150.0	150	18.181818181818183	1987429.0
M301585.lib1_2	66.87821813585566	58.0	150.0	150	27.27272727272727	1987429.0
