microsample	quality
M301570	5
M301571	5
M301572	5
M301573	5
M301574	1
M301575	1
M301576	5
M301577	5
M301578	5
M301579	5
M301580	4
M301581	1
M301582	4
M301583	4
M301584	5
M301585	1
M301586	2
M301587	5
M301588	4
M301589	5
M301590	1
M301591	4
M301592	1
M301593	5
M301594	5
M301595	5
M301596	1
M301597	4
M301598	4
M301599	4
M301600	1
M301601	1
M301602	4
M301603	5
M301604	5
M301605	1
M301606	5
M301607	1
M301608	5
M301609	5
M301610	2
M301611	2
M301612	2
M301613	2
M301614	2
M301615	1
M301616	3
M301617	3
M301618	5
M301619	1
M301620	5
M301621	5
M301622	4
M301623	2
M301624	3
M301625	5
M301626	2
M301627	4
M301628	1
M301629	5
M301630	1
M301631	5
M301632	5
M301633	1
M301634	5
M301635	1
M301636	4
M301637	1
M301638	5
M301639	5
M301640	4
M301641	5
M301642	4
M301643	5
M301644	1
M301645	4
M301646	4
M301647	4
M301648	5
M301649	1
M301650	1
M301651	2
M301652	1
M301653	1
M301654	1
M301655	1
M301656	1
M301657	1
M301658	2
M301659	2
M301660	1
M301661	1
M301663	1
M301664	1
